date,keyword,group,target_page,search_engine,position,position_change,url_ranking,impressions_gsc,clicks_gsc,ctr_gsc,notes
YYYY-MM-DD,software house Pakistan,Hero/Brand,index.html,Google PK,,,,,,, 
YYYY-MM-DD,software company Pakistan,Hero/Brand,index.html,Google PK,,,,,,, 
YYYY-MM-DD,software development company Pakistan,Hero/Brand,index.html,Google PK,,,,,,, 
YYYY-MM-DD,IT company Pakistan,Hero/Brand,about.html,Google PK,,,,,,, 
YYYY-MM-DD,software house in Lahore,Hero/Brand,index.html,Google PK,,,,,,, 
YYYY-MM-DD,software house Lahore Pakistan,Hero/Brand,index.html,Google PK,,,,,,, 
YYYY-MM-DD,software outsourcing Pakistan,Hero/Brand,index.html,Google PK,,,,,,, 
YYYY-MM-DD,Rightway Systems,Hero/Brand,index.html,Google PK,,,,,,, 
YYYY-MM-DD,ERP software Pakistan,ERP Solutions,service-details.html#erp,Google PK,,,,,,, 
YYYY-MM-DD,custom ERP development Pakistan,ERP Solutions,service-details.html#erp,Google PK,,,,,,, 
YYYY-MM-DD,ERP implementation Pakistan,ERP Solutions,service-details.html#erp,Google PK,,,,,,, 
YYYY-MM-DD,best ERP software Pakistan,ERP Solutions,service-details.html#erp,Google PK,,,,,,, 
YYYY-MM-DD,cloud ERP Pakistan,ERP Solutions,service-details.html#erp,Google PK,,,,,,, 
YYYY-MM-DD,ERP development company Pakistan,ERP Solutions,service-details.html#erp,Google PK,,,,,,, 
YYYY-MM-DD,ERP software for manufacturing Pakistan,ERP Solutions,/solutions/erp-manufacturing,Google PK,,,,,,, 
YYYY-MM-DD,ERP software Saudi Arabia,ERP Solutions,/solutions/zatca-compliance,Google SA,,,,,,, 
YYYY-MM-DD,ERP system for retail Pakistan,ERP Solutions,/solutions/erp-retail,Google PK,,,,,,, 
YYYY-MM-DD,ERP software for SMEs Pakistan,ERP Solutions,/solutions/erp-sme,Google PK,,,,,,, 
YYYY-MM-DD,ZATCA integration,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google SA,,,,,,, 
YYYY-MM-DD,ZATCA Phase 2 compliance,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google SA,,,,,,, 
YYYY-MM-DD,ZATCA e-invoicing solution,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google SA,,,,,,, 
YYYY-MM-DD,ZATCA e-invoicing Saudi Arabia,ZATCA/FBR Compliance,/solutions/zatca-compliance,Google SA,,,,,,, 
YYYY-MM-DD,ZATCA Phase 2 integration,ZATCA/FBR Compliance,/solutions/zatca-compliance,Google SA,,,,,,, 
YYYY-MM-DD,ZATCA approved software,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google SA,,,,,,, 
YYYY-MM-DD,ZATCA compliant POS,ZATCA/FBR Compliance,/solutions/zatca-compliance,Google SA,,,,,,, 
YYYY-MM-DD,ZATCA API integration,ZATCA/FBR Compliance,/solutions/zatca-compliance,Google SA,,,,,,, 
YYYY-MM-DD,ZATCA integration software Pakistan,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,e-invoicing Pakistan,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,FBR integration Pakistan,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,FBR tax invoicing software,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,FBR POS integration,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,FBR e-invoicing software Pakistan,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,FBR POS software Pakistan,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,FBR compliant software Pakistan,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,tax invoicing software Pakistan,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,sales tax management software Pakistan,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,SRB e-invoicing,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,PRA e-filing software Pakistan,ZATCA/FBR Compliance,service-details.html#zatca-fbr,Google PK,,,,,,, 
YYYY-MM-DD,AI chatbot development Pakistan,AI & Automation,service-details.html#ai-automation,Google PK,,,,,,, 
YYYY-MM-DD,chatbot development company Pakistan,AI & Automation,service-details.html#ai-automation,Google PK,,,,,,, 
YYYY-MM-DD,AI automation company Pakistan,AI & Automation,service-details.html#ai-automation,Google PK,,,,,,, 
YYYY-MM-DD,custom AI development Pakistan,AI & Automation,service-details.html#ai-automation,Google PK,,,,,,, 
YYYY-MM-DD,AI development company Pakistan,AI & Automation,service-details.html#ai-automation,Google PK,,,,,,, 
